Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
US Signal Des Moines IA01,iowa,41.6166126,-93.8535056,7.6,,https://ussignal.com/data-centers/ia01-des-moines/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/team-companies-des-moines/
IP Pathways Urbandale,iowa,41.6274127,-93.7680364,5,,https://www.ippathways.com/data-center-and-colocation-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/ip-pathways-urbandale/
InfoBunker,iowa,41.586182,-93.659333,10,1.28,https://www.infobunker.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/infobunker/
Aureon Downtown,iowa,41.5879944,-93.6310129,,,https://www.aureon.com/network/data-center-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/aureon-downtown/
LightEdge - Altoona II,iowa,41.666762,-93.455725,,,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/lightedge-altoona2/
Edged Des Moines,iowa,41.72646659999999,-93.56089329999999,13,1.15,https://www.edged.us/des-moines?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/edged-des-moines/
LightEdge - Altoona I,iowa,41.6668,-93.455687,,,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/edgebcc/
Consolidated Des Moines,iowa,41.5868055,-93.6227464,,,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/iowa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/consolidated-des-moines/
Cologix DSM1,iowa,41.58516950320468,-93.62476237658234,0.6,,,https://www.datacentermap.com/usa/iowa/des-moines/connect-des-moines/
Tract Des Moines,iowa,41.68082927273799,-93.53454705920636,1000,,https://www.tract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/tract-des-moines/
Aureon West Des Moines,iowa,41.5977398,-93.7351379,,,https://www.aureon.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/westown-communications-center/
Microsoft Project Alluvion,iowa,41.5171402,-93.7043969,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion/
Microsoft Project Mountain,iowa,41.540082,-93.8275276,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-mountain/
Microsoft Project Osmium,iowa,41.4968628,-93.7886638,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-osmium/
Apple Waukee Campus,iowa,41.62026437506193,-93.9243794615756,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/apple-waukee-data-center/
Microsoft Project Osmium - Building 5,iowa,41.49476192546379,-93.78708760127964,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-osmium-building-5/
COPT Van Meter DC1,iowa,41.538142,-93.931068,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc1/
Microsoft Project Alluvion - Building 3,iowa,41.51764068229566,-93.70630862357308,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-3/
COPT Van Meter DC13,iowa,41.532265,-93.920064,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc13/
Microsoft Project Ginger West - Building 3,iowa,41.53301268900665,-93.86353663298502,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-west-building-3/
Microsoft Project Ginger East - Building 1,iowa,41.51698996672882,-93.71990387216037,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-east-building-1/
Microsoft Project Ginger East - Building 4,iowa,41.51349171922145,-93.7242686096376,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-east-building-4/
COPT Van Meter DC11,iowa,41.534684,-93.920054,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc11/
COPT Van Meter DC9,iowa,41.532305,-93.928296,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc9/
Microsoft Project Ginger West - Building 1,iowa,41.5350386686595,-93.86331334297189,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-west-building-1/
Microsoft Project Alluvion - Building 2,iowa,41.51855646446836,-93.70254280229386,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-2/
COPT Van Meter DC12,iowa,41.533306,-93.919994,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc12/
Microsoft Project Alluvion - Building 8,iowa,41.51585829276627,-93.70243817428724,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-8/
Microsoft Project Ginger West - Building 5,iowa,41.53080904455166,-93.86358272421123,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-west-building-5/
Microsoft Project Alluvion - Building 5,iowa,41.51668472041501,-93.70628716590198,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-5/
Microsoft Project Osmium - Building 2,iowa,41.49787087330915,-93.78701678991315,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-osmium-building-2/
COPT Van Meter DC2,iowa,41.538135,-93.926538,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc2/
Microsoft Project Ginger East - Building 3,iowa,41.51354922618836,-93.71868788957872,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-east-building-3/
COPT Van Meter DC8,iowa,41.533473,-93.928328,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc8/
Microsoft Project Alluvion - Building 7,iowa,41.51587334673273,-93.70617987754643,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-7/
COPT Van Meter DC4,iowa,41.536905,-93.92661,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc4/
Microsoft Project Mountain - Building 1,iowa,41.54067650520255,-93.82781264374537,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-mountain-building-1/
COPT Van Meter DC15,iowa,41.53112,-93.921756,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc15/
COPT Van Meter DC14,iowa,41.53112,-93.926425,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc14/
Global Reach Ames,iowa,42.0017665,-93.6346427,,,https://www.globalreach.com/services/our-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/global-reach-ames/
Microsoft Project Osmium - Building 3,iowa,41.496822073728,-93.78698317324299,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-osmium-building-3/
Microsoft Project Ginger West - Building 2,iowa,41.53376974652715,-93.86346354666964,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-west-building-2/
COPT Van Meter DC10,iowa,41.53339,-93.922872,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc10/
COPT Van Meter DC6,iowa,41.535807,-93.926624,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc6/
Microsoft Project Alluvion - Building 6,iowa,41.51675702054657,-93.70254280229386,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-6/
Microsoft Project Mountain - Building 2,iowa,41.53969478892498,-93.82748097622397,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-mountain-building-2/
COPT Van Meter DC5,iowa,41.535918,-93.931049,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc5/
COPT Van Meter DC3,iowa,41.537155,-93.93108,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc3/
Microsoft Project Ginger West,iowa,41.5350032,-93.8653712,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-ginger-west/
COPT Van Meter DC7,iowa,41.534726,-93.928221,,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc7/
Windstream Des Moines,iowa,41.5526383,-93.70038869999999,,,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/windstream-des-moines/
Microsoft Project Ginger East,iowa,41.5164792,-93.7246289,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-ginger-east/
Microsoft Project Alluvion - Building 1,iowa,41.51849219947548,-93.70634081007974,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-1/
Microsoft Project Osmium - Building 1,iowa,41.49885746422999,-93.78707531166235,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-osmium-building-1/
Microsoft Project Osmium - Building 4,iowa,41.49578665057206,-93.7870353872614,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-osmium-building-4/
COPT Van Meter Campus,iowa,41.53190308894855,-93.92597870332773,1000,,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter/
Microsoft Project Ginger West - Building 4,iowa,41.53198199416954,-93.86340788695294,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-west-building-4/
Microsoft Project Alluvion - Building 4,iowa,41.51762314318057,-93.70244481263714,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-project-alluvion-building-4/
Lumen Des Moines,iowa,41.5580334,-93.5276346,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/lumen-des-moines/
Microsoft Project Ginger East - Building 2,iowa,41.51450766811543,-93.72246383549013,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/microsoft-ginger-east-building-2/
Apple Waukee - Building 3,iowa,41.62036,-93.924413,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/apple-waukee-building-3/
Apple Waukee - Building 5,iowa,41.62322,-93.924413,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/apple-waukee-building-5/
Apple Waukee - Building 1,iowa,41.616788,-93.924413,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/apple-waukee-building-1/
