Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Riot Platforms Paducah,kentucky,37.08898629999999,-88.7027394,100,,https://www.riotplatforms.com/bitcoin-mining/kentucky/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/paducah/riot-platforms-paducah/
Core Scientific Calvert City,kentucky,37.05044666481538,-88.39390071822639,150,,https://corescientific.com/infrastructure-footprint/#content-kentucky?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/calvert-city/core-scientific-calvert-city/
Quad State Internet PAH1,kentucky,37.0940089,-88.6340503,,,https://quadstateinternet.net/enterprise?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/paducah/quad-state-internet-data-center/
Riot Platforms Calvert City,kentucky,37.0541587,-88.3508648,55,,https://www.riotplatforms.com/bitcoin-mining/kentucky/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/calvert-city/riot-platforms-calvert-city/
Louisville Enterprise Data Center,kentucky,38.2120095,-85.5197907,1,1.7,https://carterfunds.com/enterprise-data-center-3/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/louisville-enterprise-data-center/
Flexential Louisville - Downtown Data Center - $0 NRC's,kentucky,38.243438,-85.733604,3.09,,,https://www.datacentermap.com/usa/kentucky/louisville/flexential-louisville-downtown/
Flexential Louisville - East Data Center,kentucky,38.277194,-85.507272,1.46,,,https://www.datacentermap.com/usa/kentucky/louisville/flexential-louisville/
Cogent Data Center - Louisville,kentucky,38.2459161,-85.7579598,0.2,,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/cogent-louisville/
332 West Broadway,kentucky,38.2457797,-85.7580952,,,,https://www.datacentermap.com/usa/kentucky/louisville/332-w-broadway/
Simpsonville Enterprise Data Center,kentucky,38.2189073,-85.33787919999999,1,1.7,https://carterfunds.com/enterprise-data-center-4/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/simpsonville-enterprise-data-center/
BluegrassNet East Breckinridge,kentucky,38.2411629,-85.7493313,,,https://www.bluegrass.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/east-breckinridge/
TeraWulf Hawesville,kentucky,37.94574239663027,-86.78736526524985,,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/terawulf-hawesville/
IgLou Data Center,kentucky,38.178387,-85.7002616,,,https://www.iglou.com/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/iglou-colocation/
PowerHouse Louisville Campus,kentucky,38.19922401996019,-85.85414862698194,400,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-campus/
"Windstream Louisville, KY",kentucky,38.2421627,-85.7381196,,,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/ngenx---colocation/
Lumen Louisville 2,kentucky,38.2455265,-85.7632289,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/lumen-louisville-2/
Silica Broadband,kentucky,38.3703275,-85.5935596,,,https://silicabroadband.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/davey-holdings/
Project Lincoln OC Data Center,kentucky,38.3944462,-85.4093247,,,,https://www.datacentermap.com/usa/kentucky/louisville/project-lincoln-oc-data-center/
BluegrassNet Downtown Louisville,kentucky,38.2440518,-85.7592415,,,https://www.bluegrass.net/datacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/bluegrassnet-downtown-louisville/
PowerHouse Louisville - Building 1,kentucky,38.196507,-85.859755,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-1/
PowerHouse Louisville - Building 2,kentucky,38.195737,-85.858636,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-2/
Lumen Louisville 1,kentucky,38.2431849,-85.765964,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/level3-louisville/
PowerHouse Louisville - Building 5,kentucky,38.197425,-85.856617,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-5/
Lumen Louisville 3,kentucky,38.246061,-85.757229,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/twtc-louisville/
PowerHouse Louisville - Building 6,kentucky,38.196398,-85.855327,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-6/
PowerHouse Louisville - Building 4,kentucky,38.194083,-85.856136,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-4/
PowerHouse Louisville - Building 7,kentucky,38.201524,-85.853719,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-7/
PowerHouse Louisville - Building 3,kentucky,38.194831,-85.857221,,,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-3/
Data Canopy - Louisville,kentucky,38.2371028,-85.7738726,,,https://datacanopy.com/data-centers/louisville-ky/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/hosting-louisville/
KUSI Data Center,kentucky,37.8266306,-84.7017367,,,https://www.kentuckyunderground.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/lexington/subtac/
