Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
"DartPoints Baton Rouge, LA 2 - BTR02",louisiana,30.4522872,-91.1155706,6,,https://dartpoints.com/locations/louisiana2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/dartpoints-baton-rouge/
Lockstep Technology Group Data Center,louisiana,30.387342,-91.092453,10,,https://lockstepgroup.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/nasplex/
"DartPoints Baton Rouge, LA 1 - BTR01",louisiana,30.4537793,-91.1159194,2.5,,https://dartpoints.com/locations/louisiana1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/dartpoints-baton-rouge-1/
Hut 8 River Bend Campus,louisiana,30.7175586636459,-91.31519644902141,200,,https://www.hut8.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/hut-8-river-bend-campus/
"DartPoints Shreveport, LA - SHV01",louisiana,32.510911,-93.7500758,2.2,,https://dartpoints.com/locations/louisiana3/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/dartpoints-shreveport/
Lumen Baton Rouge 2,louisiana,30.3572892,-91.1176267,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/level3-baton-rouge2/
Meta Hyperion Campus,louisiana,32.495963,-91.636214,2230,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-richland-parish/
Meta Hyperion - Building 6,louisiana,32.494158,-91.632715,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-6/
Meta Hyperion - Building 1,louisiana,32.506984,-91.637088,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-1/
Meta Hyperion - Building 5,louisiana,32.501336,-91.636168,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-5/
Meta Hyperion - Building 2,louisiana,32.506558,-91.634808,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-2/
Meta Hyperion - Building 4,louisiana,32.501652,-91.638391,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-4/
Meta Hyperion - Building 7,louisiana,32.491764,-91.632775,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-7/
Meta Hyperion - Building 8,louisiana,32.487835,-91.632836,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-8/
Meta Hyperion - Building 9,louisiana,32.485362,-91.633044,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-9/
Meta Hyperion - Building 3,louisiana,32.504148,-91.636659,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-hyperion-building-3/
Cogent Data Center - New Orleans,louisiana,29.949111,-90.070065,0.7,,https://www.cogentco.com/en/cogent-new-orleans?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/cogent-new-orleans/
EdgeConneX Slidell - EDCSLI01,louisiana,30.2871413,-89.737401,0.5,,https://www.edgeconnex.com/locations/americas/new-orleans-la/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/edgeconnex-edcsli01/
FOGO Solutions - New Orleans,louisiana,29.9529724,-90.0731917,,,https://fogosolutions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/new-orleans-region/
Lumen New Orleans 2,louisiana,29.9507683,-90.0767572,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/lumen-new-orleans-2/
Lumen Metairie,louisiana,29.9725494,-90.158026,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/level3-metairie/
Lumen New Orleans 1,louisiana,29.9489449,-90.0768393,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/level3-new-orleans1/
Applied Digital Project Lightning,louisiana,31.37948119972468,-92.68820292722972,,,https://www.applieddigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/alexandria-la/applied-digital-project-lightning/
Scroggin Networks Monroe,louisiana,32.5156661,-92.1134716,,,https://scroggin.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/monroe/monroe/
