Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
FirstLight Portland,maine,43.6577998,-70.261218,,,https://www.firstlight.net/portland-me-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/portland-mn/firstlight-portland/
CENTRA Portland (PWM1),maine,43.657789,-70.2612024,5,,https://www.centradigital.com/locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/portland-mn/cadc-portland/
FirstLight Brunswick,maine,43.8950296,-69.9230964,,,https://www.firstlight.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/brunswick/oxford-networks-data-center/
Maine Yankee Nuclear Plant DC Project,maine,43.95641202813458,-69.69473871686502,,,,https://www.datacentermap.com/usa/maine/brunswick/maine-yankee-nuclear-plant-dc-project/
EnablesIT Data Center,maine,43.9073683,-69.9969657,,,https://www.enablesit.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/brunswick/nexus-management/
LiquidCool Loring,maine,46.93750935916671,-67.89358972130505,50,,https://liquidcoolsolutions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/caribou/liquidcool-loring/
MillCompute LLC,maine,44.09436716025149,-70.21860867300832,,,,https://www.datacentermap.com/usa/maine/lewiston/millcompute-llc/
FirstLight Bangor,maine,44.7959909,-68.7723439,,,https://www.firstlight.net/bangor-me-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/bangor/firstlight-bangor/
Sentinel Maine,maine,44.50874428225416,-70.24003267991884,,,https://sentineldatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/farmington/sentinel-maine/
Pioneer Broadband DataCenter,maine,46.6816923,-68.0153441,,,https://www.pioneerbroadband.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/northern-maine/pioneer-broadband-datacenter/
Nautilus East Millinocket,maine,45.62311608273001,-68.57445529479483,,,https://nautilusdt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maine/millinocket/nautilus-east-millinocket/
