Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
TierPoint Baltimore - BWI,maryland,39.2134365,-76.6828547,,,https://www.tierpoint.com/data-centers/maryland/baltimore-bwi/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/tierpoint-baltimore/
TierPoint Baltimore - BAL,maryland,39.2753703,-76.6255517,,,https://www.tierpoint.com/data-centers/maryland/baltimore/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/baltimore-technology-park/
AiNET One Market Center,maryland,39.2919659,-76.6203816,80,,http://www.ai.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/one-market/
Expedient Owings Mills,maryland,39.427079,-76.8118035,0.8,,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/baltimore-owings-wills/
Cogent Data Center - Elkridge,maryland,39.2035251,-76.7124663,6.8,,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/cogent-data-center-elkridge/
Expedient Tide Point,maryland,39.2747111,-76.5917613,1.5,,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/baltimore-tide-point/
Crown Castle Baltimore,maryland,39.2873717,-76.6061724,,,https://www.crowncastle.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/ba-1/
DataBank BWI1 - Downtown Baltimore,maryland,39.29192,-76.62031,0.6,,https://www.databank.com/data-centers/baltimore/300-west-lexington-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/databank-bwi1/
AiNET CyberNAP,maryland,39.1386697,-76.6060397,80,,https://www.ai.net/cybernap/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/ainet-cybernap/
DataBank - 111 Market Pl,maryland,39.2874836,-76.6061655,,,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/zcolo-111-market/
1500 Woodlawn Drive,maryland,39.307303,-76.7347456,150,,,https://www.datacentermap.com/usa/maryland/baltimore/1500-woodlawn-drive/
InfraDMS BAL01,maryland,39.2893148,-76.6105527,,,http://www.infradms.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/idms-bal01/
Comcast Nottingham,maryland,39.36866285980927,-76.4673345576727,,,https://business.comcast.com/enterprise/products-services/data-networking?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/comcast-nottingham/
9800 South Eternal Rings Drive,maryland,39.13373184488427,-76.85124687784618,,,https://www.gipartners.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/9800-south-eternal-rings-drive/
7665 Sandy Farm Road,maryland,39.14914956540815,-76.67872943149159,,,https://www.gipartners.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/7665-sandy-farm-road/
Lumen Baltimore,maryland,39.2919445,-76.6202844,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/level3-baltimore/
Candler Building,maryland,39.2874731,-76.6061522,,,,https://www.datacentermap.com/usa/maryland/baltimore/candler-building/
TPC Laurel,maryland,39.089151,-76.90115999999999,20,1.1,https://www.tpcdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/laurel/tpc-laurel/
AiNET Laurel SCIF,maryland,39.1014117,-76.8480095,,,https://www.ai.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/laurel/coloco8/
Aligned Maryland Hyperscale Campus,maryland,39.33516118198411,-77.4725022044077,264,,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/frederick/maryland-campus/
Rowan Bauxite II Campus,maryland,39.32389,-77.464335,,,https://rowan.digital/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/frederick/rowan-bauxite-ii/
Rowan Bauxite III Campus,maryland,39.331299,-77.471119,,,https://rowan.digital/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/frederick/rowan-bauxite-iii/
Xecunet Data Center,maryland,39.3936019,-77.4184121,,,https://www.xecu.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/frederick/xecunet/
