Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Crown Castle Springfield (MA1),massachusetts,42.1100177,-72.5764883,,,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/springfield-ma/crown-castle-ma1/
Massachusetts Green HPC Center,massachusetts,42.202523,-72.60784749999999,30,,https://www.mghpcc.org/services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/holyoke/massachusetts-green-hpc-center/
Cogent Data Center - Springfield,massachusetts,42.113001,-72.5836369,2.3,,https://www.cogentco.com/en/cogent-boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/springfield-ma/cogent-data-center-springfield/
Lumen Springfield 1,massachusetts,42.1100177,-72.5764883,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/springfield-ma/lumen-springfield-1/
55 Middlesex Turnpike,massachusetts,42.5087368,-71.2339647,5.1,,,https://www.datacentermap.com/usa/massachusetts/boston/55-middlesex/
128 First Avenue (BOS14),massachusetts,42.3013161,-71.2190293,11.6,,,https://www.datacentermap.com/usa/massachusetts/boston/128-first-avenue/
105 Cabot Street (BOS16),massachusetts,42.3028621,-71.2210018,2.2,,,https://www.datacentermap.com/usa/massachusetts/boston/digital-realty-105-cabot/
Iron Mountain Data Centers BOS-1,massachusetts,42.3376904,-71.6394718,3.6,1.2,https://www.ironmountain.com/data-centers/locations/boston-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/iron-mountain-bos-1/
Csquare - Boston BOS4-A,massachusetts,42.36506,-71.15973,15,,https://www.evoquedcs.com/data-centers/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/evoque-bos1/
CoreSite Boston (BO1),massachusetts,42.3767175,-71.0797876,,,https://www.coresite.com/data-center-locations/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/70-innerbelt/
