Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Pavilion Township Data Center,michigan,42.2448831,-85.51182089999999,,,,https://www.datacentermap.com/usa/michigan/kalamazoo/pavilion-township-data-center/
Hyperscale Data Michigan,michigan,41.992413,-86.098981,340,,https://hyperscaledata.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/kalamazoo/hyperscale-data-michigan/
Aunalytics Kalamazoo Data Center,michigan,42.2464108,-85.6752039,,,https://www.aunalytics.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/kalamazoo/secant-tier-3-dc/
123Net Southfield NW DC2,michigan,42.4670333,-83.2349719,1,,https://www.123.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/internet-123/
OTAVA Metro Detroit,michigan,42.331051,-83.419518,1.2,,https://www.onlinetech.com/data-centers/michigan-data-centers/metro-detroit-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/metro-detroit-1-data-center/
ManagedWay Data Center #2,michigan,42.5406275,-83.0984188,4,,https://managedway.com/datacenter-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/waveform-dc-2/
US Signal Detroit MI03,michigan,42.2353124,-83.4441197,4.5,,https://ussignal.com/data-centers/detroit-metro?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-metro/
123Net Southfield W DC3,michigan,42.4668463,-83.2346439,1.5,,https://www.123.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc3/
ManagedWay Data Center #1,michigan,42.537172,-83.0998681,1,,https://managedway.com/datacenter-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/waveform-troy-datacenter/
123Net Southfield DC1,michigan,42.4716648,-83.2380381,20,,https://www.123.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc1/
Liberty Center One Royal Oak,michigan,42.5335168,-83.1774788,,,https://www.libertycenterone.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/liberty-center-one/
EdgeConneX Detroit - EDCDET01,michigan,42.448537,-83.2612259,1.5,,https://www.edgeconnex.com/locations/americas/detroit-mi/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/edgeconnex-edcdet01/
Cogent Data Center - Troy,michigan,42.559464,-83.1930839,0.3,,https://www.cogentco.com/en/cogent-detroit?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/cogent-troy/
US Signal Detroit MI04,michigan,42.4472941,-83.2570133,0.25,,https://ussignal.com/data-centers/mi04-detroit/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/us-signal-southfield/
US Signal Detroit MI05,michigan,42.6540236,-83.2139184,4,,https://ussignal.com/data-centers/mi05-detroit/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-north/
365 Data Centers - Detroit,michigan,42.4698626,-83.2598871,,,https://365datacenters.com/detroit-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/switchdata-detroit/
