Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
AVAIO Digital Taurus,mississippi,32.26923192298861,-90.01290476557159,116,,https://avaiodigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/avaio-digital-taurus/
CleanSpark Vicksburg,mississippi,32.2618832,-90.9194103,,,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/cleanspark-vicksburg/
USNX Data Center,mississippi,32.387101,-90.145322,,,https://www.usnx.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/usnx-data-center/
NETDOOR Data Center,mississippi,32.309045,-90.178058,,,https://www.netdoor.com/business/colo/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/netdoor-jxn/
Amazon AWS - 1001 Industrial Park Drive,mississippi,32.3490803,-90.3663401,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-1001-industrial-park-drive/
C Spire Ridgeland,mississippi,32.4373271,-90.14721469999999,,,https://www.cspire.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/c-spire-ridgeland/
Amazon AWS - Canton DC2,mississippi,32.59609024041239,-90.09796406643464,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc2/
Amazon AWS - Canton DC4,mississippi,32.59611180787358,-90.09431611035812,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc4/
Amazon AWS - Canton DC5,mississippi,32.59634904579169,-90.08918339242663,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc5/
Amazon AWS - Canton DC1,mississippi,32.59452658564494,-90.09800246597229,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc1/
Amazon AWS - Canton Campus,mississippi,32.59790872917456,-90.09198577949716,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-campus/
Amazon AWS - Canton DC3,mississippi,32.59452658564494,-90.09438010958753,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc3/
Amazon AWS - Ridgeland DC2,mississippi,32.411996,-90.190336,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc2/
Amazon AWS - Ridgeland DC1,mississippi,32.411996,-90.192171,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc1/
Amazon AWS - Ridgeland DC5,mississippi,32.409104,-90.190732,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc5/
Amazon AWS - Ridgeland DC3,mississippi,32.411996,-90.189298,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc3/
Amazon AWS - Ridgeland DC4,mississippi,32.411996,-90.187642,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc4/
Amazon AWS - Canton DC6,mississippi,32.59715743839423,-90.09046232999587,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc6/
Amazon AWS - Ridgeland Campus,mississippi,32.409944,-90.188009,,,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-campus/
Compass Meridian Campus,mississippi,32.391105,-88.622286,320,,https://www.compassdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/meridian/compass-meridian-campus/
CleanSpark Meridian,mississippi,32.348233,-88.7082422,,,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/meridian/cleanspark-meridian/
CleanSpark Wiggins,mississippi,30.84969373964336,-89.14081418233764,,,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/hattiesburg/cleanspark-wiggins/
C Spire Hattiesburg,mississippi,31.3195714,-89.3891949,,,https://www.cspire.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/hattiesburg/megagate-broadband-data-center/
xAI MACROHARDRR,mississippi,34.99344008392417,-90.03411726369889,2000,,https://x.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/southaven/xai-macrohardrr/
C Spire Starkville,mississippi,33.4705608,-88.7911355,,,https://www.cspire.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/starkville/c-spire-starkville/
