Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
DataVerge NJ,new-jersey,40.7263044,-74.0337401,1,,https://dataverge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/dataverge-nj/
100 Delawanna Ave (EWR20),new-jersey,40.8299724,-74.1267624,3.9,,,https://www.datacentermap.com/usa/new-jersey/hudson-county/telx-njr2/
Equinix NY6,new-jersey,40.77750539619046,-74.07271387500744,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/equinix-ny6/
2 Peekay Drive (EWR21),new-jersey,40.8305887,-74.1245449,30,,,https://www.datacentermap.com/usa/new-jersey/hudson-county/2-peekay-drive/
365 Data Centers - Carlstadt,new-jersey,40.828932,-74.049205,18,,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/sungard-410-commerce/
Colocation America NJDC1,new-jersey,40.8299598,-74.1266333,33,,https://www.colocationamerica.com/data-center-locations/new-jersey?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/colocation-america-njdc1/
365 Data Centers - Weehawken,new-jersey,40.761979,-74.026033,0.281,,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/atlantic-metro-ewr1/
Equinix NY7,new-jersey,40.7969847,-74.0311359,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/switchdata-new-jersey/
Csquare - New York EWR1,new-jersey,40.719595,-74.033245,13.2,,https://centersquaredc.com/data-centers/new-york-new-jersey?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/cyxtera-ewr1/
"Csquare - New York EWR2-A,B",new-jersey,40.761929,-74.025163,,,https://centersquaredc.com/data-centers/new-york-new-jersey?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/cyxtera-ewr2/
One Evertrust Plaza,new-jersey,40.7184768,-74.037586,,,http://www.oneevertrustplaza.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/one-evertrust-plaza/
11:11 Systems Carlstadt,new-jersey,40.828343,-74.0451928,,,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/sungard-777-central/
"Csquare - New York EWR2-C,D",new-jersey,40.760671,-74.026278,12,,https://centersquaredc.com/data-centers/new-york-new-jersey?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/cyxtera-ewr2c/
Newport Financial Center,new-jersey,40.7263945,-74.033621,,,https://www.newportnj.com/live-work/commercial/111-tsp/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/newport-financial-center/
QTS Jersey City 1 DC1,new-jersey,40.7189,-74.041929,3,,https://qtsdatacenters.com/data-centers/jersey-city?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/qts-jersey-city/
Lumen Weehawken 1,new-jersey,40.761979,-74.026033,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-jersey/hudson-county/level-3-hudson-county/
