Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Jackson Technical Data Center,oklahoma,36.15194181396797,-95.98434146935527,0.4,,https://www.jacksontechnical.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/jackson-technical-data-center/
TierPoint Tulsa - Archer,oklahoma,36.1585889,-95.9886351,,,https://www.tierpoint.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsa-data-center/
TierPoint Tulsa - State Farm,oklahoma,36.0964147,-95.8400375,,,https://www.tierpoint.com/data-centers/oklahoma/tulsa-state-farm/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tierpoint-tulsa-state-farm/
Philcade Data Center,oklahoma,36.151702,-95.988297,,,https://www.kanbarproperties.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/philcade-data-center/
TulsaConnect East (DC-3),oklahoma,36.0993298,-95.83856,,,https://www.tulsaconnect.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsaconnect-data-center-dc3/
OCOSA Data Center,oklahoma,36.15326283155181,-95.98921136228346,,,http://www.ocosa.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/ocosa-data-center1/
Pawhuska AI Data Center,oklahoma,36.6777855,-96.3255981,10,,https://buckleybrosholdings.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/pawhuska-ai-data-center/
Cherokee Data Center,oklahoma,36.26252432303883,-95.9100903661328,,,https://www.hpe.com/us/en/networking/data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/cherokee-data-center/
Tulsa Technology Exchange,oklahoma,36.1515848,-95.9883122,,,https://www.facilitygateway.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsa-technology-exchange/
CORE Data Center,oklahoma,36.6257567,-95.0925005,,,https://corecolocate.com/index.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/core-data-center/
Core Scientific Muskogee,oklahoma,35.78535393717777,-95.30150992141873,70,,https://corescientific.com/infrastructure-footprint/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/core-scientific-muskogee/
Google Mayes County Campus,oklahoma,36.2425115,-95.3243402,,1.1,https://www.google.com/about/datacenters/locations/mayes-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county/
Project Mustang,oklahoma,36.34651676678193,-95.60725880826581,,,https://bealeinfra.com/claremore-oklahoma/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/project-mustang/
110 West 7th Street,oklahoma,36.1484854,-95.9906384,,,https://prescottgroup.com/properties/110-west-seventh/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/110-west-7th-street/
Windstream Tulsa,oklahoma,36.1484854,-95.9906384,,,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/windstream-tulsa/
Google Mayes County - Building 7,oklahoma,36.24728540378634,-95.32403026647509,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-7/
Google Mayes County - Building 3,oklahoma,36.24150718503331,-95.32364813090072,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-3/
Google Mayes County - Building 5,oklahoma,36.24147259172317,-95.32021489745102,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-5/
Google Mayes County - Building 1,oklahoma,36.24132582154591,-95.33000562958999,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-1/
Google Mayes County - Building 2,oklahoma,36.24506599132555,-95.32500305251986,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-2/
Google Mayes County - Building 8,oklahoma,36.24728540378634,-95.32720462100399,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-8/
Google Mayes County - Building 6,oklahoma,36.24732669458319,-95.32109910846249,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-6/
Google Mayes County - Building 4,oklahoma,36.24144269194195,-95.3224127373114,,,https://www.google.com/about/datacenters/locations/papillion/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/google-mayes-county-building-4/
TulsaConnect Downtown  (DC-5),oklahoma,36.1486027,-95.9906539,,,https://www.tulsaconnect.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsaconnect-data-center-dc2/
Isocentric Networks Data Center,oklahoma,36.1505846,-95.991728,,,https://www.isocentric.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/isocentric-networks/
Project Atlas,oklahoma,35.9306867,-95.6378309,,,https://bealeinfra.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/project-atlas/
Project Spring,oklahoma,36.24756016348736,-96.10959753112235,,,,https://www.datacentermap.com/usa/oklahoma/tulsa/project-spring/
Project Clydesbank,oklahoma,36.27108904049102,-95.90955403179717,,,https://tulsaplanning.org/tmapc/TAC/Project%20Clydesdale%20submittal.pdf?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/project-clydesbank/
Project Clydesdale,oklahoma,36.27141438092708,-95.90912442340503,,,,https://www.datacentermap.com/usa/oklahoma/tulsa/project-clydesdale/
TierPoint Oklahoma City #2,oklahoma,35.5135865,-97.5950876,,,https://www.tierpoint.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/perimeter-technology-data-center/
Lumen Tulsa 1,oklahoma,36.1572487,-95.9933479,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/level3-tulsa1/
TierPoint Oklahoma City #1,oklahoma,35.5143079,-97.5968398,,,https://www.tierpoint.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/oklahoma-city-data-center/
RACK59,oklahoma,35.46727620284629,-97.64960646629333,,,https://rack59.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/rack59/
American Tower EDC Oklahoma,oklahoma,35.5972719,-97.49024999999999,4,,https://www.americantower.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/american-tower-edc-oklahoma/
ValorC3 Oklahoma City Data Center,oklahoma,35.4249407,-97.5998082,1.25,,https://valorc3.com/oklahoma-city-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/edgexdc-okc/
MIDCON Recovery Solutions,oklahoma,35.606842,-97.500057,,,https://www.midconrecoverysolutions.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/midcon-recovery-solutions/
Cerebras Oklahoma,oklahoma,35.5353195,-97.5217825,10,,,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/scale-datacenter/
Cogent Data Center - Oklahoma City,oklahoma,35.45751509999999,-97.5239988,,,https://www.cogentco.com/en/cogent-oklahoma-city?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/oklahoma-city/cogent-data-center-oklahoma-city/
