Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Iron Mountain Data Centers WPA-1,pennsylvania,41.0914783,-79.9134942,15.5,1.3,https://www.ironmountain.com/data-centers/locations/pennsylvania-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/iron-mountain-wpa-1/
MSA Evergreen Heights,pennsylvania,40.5186006,-80.01519189999999,4,,,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/msa-evergreen-heights/
MSA Rockpointe,pennsylvania,,,5,,,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/management-science-associates/
Ark Data Centers Pittsburgh,pennsylvania,40.7523755,-79.6373443,1.5,,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/involta-pittsburgh/
EdgeConneX Pittsburgh - EDCPIT01,pennsylvania,40.452221,-80.041515,1,,https://www.edgeconnex.com/locations/americas/pittsburgh-pa/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/edcpit01/
DataBank PIT2 - Summit Park,pennsylvania,40.4513337,-80.1901013,5,,https://www.databank.com/data-centers/pittsburgh/summit-park-campus/summit-park/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/databank-pit2-summit-park/
Ardent Pittsburgh,pennsylvania,40.43957436734448,-80.14201806425895,20,,https://ardentdc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/ardent-pittsburgh/
DQE Pittsburgh,pennsylvania,40.4389026,-80.0005467,,,https://www.dqecom.com/services/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/dqe-pittsburgh/
Expedient  Pittsburgh South,pennsylvania,40.4273688,-80.0425116,1.8,,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/expedient-pittsburgh/
TeraSwitch Networks Pittsburgh,pennsylvania,40.4509125,-80.0051218,2,1.3,https://teraswitch.com/datacenters/pittsburgh/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/teraswitch-networks---dc1/
