Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Iron Mountain Data Centers VA-1,virginia,38.77792264250294,-77.54703012251925,13,1.2,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-1/
10051 Brickyard Wy,virginia,38.7369178,-77.5078273,,,,https://www.datacentermap.com/usa/virginia/manassas/10051-brickyard-wy/
9905 Godwin Drive (IAD53),virginia,38.7404104,-77.5040386,,,,https://www.datacentermap.com/usa/virginia/manassas/digital-realty-9905-godwin-drive/
Iron Mountain Data Centers VA-2,virginia,38.77710296786073,-77.54591432365577,36,1.2,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-2/
EvoSwitch Manassas (WDC1),virginia,38.7464612,-77.5330785,20,,https://evoswitch.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/evoswitch-wdc-1/
Equinix DC14,virginia,38.80333,-77.51088,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/equinix-dc14/
VAZATA NoVA I,virginia,38.7472871,-77.5318712,2,,https://www.vazata.com/data-centers/manassas-data-center-nova/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/vazata-nova-i/
CloudHQ MDC Campus,virginia,38.7314131,-77.5091781,300,,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mdc-campus/
STACK Infrastructure NVA05A,virginia,38.75885494676042,-77.51648207845305,36,,https://www.stackinfra.com/locations/americas/northern-virginia/nva05/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/stack-infrastructure-nva05a/
QTS Manassas DC5,virginia,38.75460616666228,-77.51739293212357,42,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas5/
CloudHQ MCC Campus,virginia,38.72073196690473,-77.49847011861604,382,,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc-campus/
QTS Manassas Campus,virginia,38.7516218,-77.5112262,150,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas-data-center-campus/
Cloud Capital - 9651 Hornbaker,virginia,38.74741286878826,-77.53174131910815,30,,https://cldcap.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/power-loft-innovation/
Iron Mountain Data Centers VA-6,virginia,38.76806082957219,-77.53874746148891,32,,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-6/
QTS Manassas DC2,virginia,38.7525638,-77.5124673,20,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas2/
QTS Manassas DC1,virginia,38.7525053,-77.5130401,,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas1/
STACK Infrastructure NVA05B,virginia,38.76115398805212,-77.51505369298008,48,,https://www.stackinfra.com/locations/americas/northern-virginia/nva05/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/stack-infrastructure-nva05b/
