Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
2020 5th Avenue (SEA11),washington,47.6144252,-122.3397368,,,,https://www.datacentermap.com/usa/washington/seattle/2020-5th-avenue/
Hivelocity - Seattle 1,washington,47.6143185,-122.3388942,,,,https://www.datacentermap.com/usa/washington/seattle/hivelocity-westin/
2001 Sixth Avenue (SEA10),washington,47.614358,-122.3388642,19.5,,,https://www.datacentermap.com/usa/washington/seattle/the-westin-building-dlr/
H5 Data Centers Seattle,washington,47.619054,-122.336393,,,https://h5datacenters.com/seattle-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/h5dc-seattle/
Csquare - Seattle SEA3-A,washington,47.84201059999999,-122.3016677,1.6,,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/evoque-sea1/
TierPoint Seattle,washington,47.619008,-122.348972,,,https://www.tierpoint.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/adhost-internet/
Superb SEA2 - Seattle,washington,47.4954755,-122.2912893,1.5,,https://www.superb.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sea2-seattle/
Digital Fortress Downtown Seattle,washington,47.6180686,-122.3564848,3,,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/digital-fortress-sea2/
The Westin Building,washington,47.6137108,-122.3382624,19,,https://westinbuilding.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/the-westin-building/
Digital Fortress North Seattle,washington,47.82251,-122.289421,6,,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/digital-fortress-north-seattle/
Digital Fortress South Seattle,washington,47.491604,-122.292301,4,,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/tuk-1/
Equinix SE4,washington,47.42158,-122.24756,12,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/equinix-se4/
Equinix SE3,washington,47.614455,-122.33965,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/equinix-se3/
EdgeConneX Seattle - EDCSEA01,washington,47.4981839,-122.2895845,4.5,,https://www.edgeconnex.com/locations/americas/seattle-wa/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/edcsea01/
SDC Seattle Campus,washington,47.4957796,-122.2864298,90,,https://sabey.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sabey-sdc52/
DataBank SEA2 - SeaTAC,washington,47.4950345,-122.2905918,3,,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/zcolo-3311s-120th/
Lunavi Seattle,washington,47.6137488,-122.3382056,0.56,,https://www.lunavi.com/data-centers/seattle?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/green-house-data-seattle/
DataBank SEA1 - Downtown Seattle,washington,47.6143908,-122.3388835,0.21,,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/zcolo-2001-6th-ave/
Colocation Northwest - Downtown Seattle,washington,47.6137596,-122.3381913,0.125,,https://www.colocationnorthwest.com/data-centers/seattle?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/westin-building-exchange/
Csquare - Seattle SEA1-B,washington,47.4918811,-122.2898001,4.8,,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/cyxtera-sea1b/
Colocation Northwest - Redmond,washington,47.6325481,-122.1385385,0.25,,https://www.colocationnorthwest.com/data-centers/redmond?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/redmond-overlake/
CherryRoad SEA2,washington,47.4950629,-122.290932,1.5,,https://hopone.cherryroad.com/data-centers/sea2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/cherryroad-sea2/
Cogent Data Center - Seattle,washington,47.31176216006495,-122.2945582866669,5.3,,http://www.cogentco.com/en/cogent-seattle?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/cogent-seattle/
LeaseWeb Seattle SEA-11,washington,47.491604,-122.292301,3,,https://www.leaseweb.com/en/why-leaseweb/platform/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/ubiquity---seattle/
Pacific Internet North Datacenter,washington,47.793971,-122.195993,1,,https://www.pac-internet.com/facilities.php?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/worldlink-colocation-services/
Csquare - Seattle SEA2-A,washington,47.440858,-122.255254,4.5,,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/cyxtera-sea2a/
Csquare - Seattle SEA1-A,washington,47.492039,-122.293101,6,,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/cyxtera-sea1a/
Wowrack Tukwila,washington,47.49330991301814,-122.2938644883778,,,https://www.wowrack.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/wowrack/
ColoInSeattle.com,washington,47.491604,-122.292301,2,,http://www.coloinseattle.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/coloinseattlecom/
Pacific Internet South Datacenter,washington,47.4735842,-122.2352127,1,,https://www.pacific.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/worldlink-south-datacenter/
Equinix SE2,washington,47.614408,-122.338388,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/switch-data-seattle/
ColoCrossing SEA1,washington,47.4931576,-122.2938323,10,,https://www.colocrossing.com/datacenter/seattle-wa/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/colocrossing-sea1/
Semaphore Seattle,washington,47.6143677,-122.3388981,,,https://www.semaphore.com/solution/datacenter-colocation-bandwidth/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/semaphore-seattle/
Evocative SEA1,washington,47.619008,-122.3489718,4.5,,https://evocative.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/internap-140-4th-ave/
KOMO Plaza,washington,47.6195033,-122.3480997,16,,https://komoplaza.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/fisher-building/
Intergate.West,washington,47.4921809,-122.2933128,,,https://sabey.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sabey-intergate-west/
1505 5th,washington,47.6107164,-122.3358076,,,https://www.colliers.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/1505-5th/
Evocative - INAP Seattle,washington,47.6144077,-122.3383877,,,https://evocative.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/internap-westin/
DataBank - 12201 Tukwila Intl Blvd,washington,47.4930991,-122.2936882,,,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/zcolo-12201-tukwila/
Astute Hosting Seattle,washington,47.614408,-122.338388,,,http://astutehosting.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/astute-hosting-seattle/
Seattle Colocation,washington,47.6143731,-122.3388856,,,http://seattlecolocation.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/seattle-colocation/
